Author	Book Title	Series	ISBN	Year Level
Nicol, James	The Apprentice Witch		9781910655153	5-6
Nix, Garth	Frogkisser!		9781760293512	5-6, 7-8
Oliver, Narelle	I Want to Be in a Book		9781743811634	3-4
Orr, Wendy	Dragonfly Song		9781760290023	5-6
Palacio, R.J.	We're All Wonders	Wonder	9781524766511	5-6
Pascoe, Bruce	Mrs Whitlam		9781925360240	5-6
Pastis, Stephan	The Book You're Not Supposed to Have	Timmy Failure 05	9780763690045	3-4, 5-6
Pastis, Stephan	The Cat Stole My Pants	Timmy Failure 06	9781406377163	3-4, 5-6
Patterson, James	Hollywood 101	Middle School	9781784756819	5-6
Patterson, James; Grabenstein, Chris	I Funny: School of Laughs	I Funny 05	9781784754006	7-8
Pennypacker, Sara; Klassen, Jon (ill.)	Pax		9780062377012	5-6
Phommavanh, Oliver	Super Con-Nerd	Con-nerd	9780143306535	5-6, 7-8
Pilkey, Dav	Dog Man	Dog Man	9780545581608	3-4
Pilkey, Dav	Dog Man Unleashed	Dog Man	9780545935203	3-4
Plozza, Shivaun	Frankie		9780143573166	9-10
Poshoglian, Yvette; McDonald, Danielle (ill.)	Note Perfect	Ella and Olivia 19	9781743811481	EC-2, 3-4
Reilly, Matthew	The Four Legendary Kingdoms	Jack West Junior 04	9781409167112	9-10
Remington, Laurel	The Secret Cooking Club		9781910655245	5-6
Rex, Alice; Perrini, Angela (ill.)	Ava's Spectacular Spectacles		9781925059984	EC-2
Rippin, Sally	The Wayward Witch and the Feelings Monster	Polly and Buster 01	9781760129019	3-4
Rossell, Judith	Wormwood Mire	A Stella Montgomery Intrigue 02	9780733333019	5-6
Rossell, Judith	Wakestone Hall	A Stella Montgomery Intrigue 03	9780733338212	5-6
Roxburgh, Richard	Artie and the Grime Wave		9781760292140	5-6
Roy, James; Gifford, Lucinda (ill.)	Let's do Diwali	Chook Doolan	9781925381597	EC-2
Roy, James; Gifford, Lucinda (ill.)	On the Road	Chook Doolan	9781925381566	EC-2
Roy, James; Gifford, Lucinda (ill.)	Un-happy Camper	Chook Doolan	9781925381573	EC-2
Roy, James; Gifford, Lucinda (ill.)	Up and Away	Chook Doolan	9781925381580	EC-2
Rudge, Leila	Gary		9780763689544	EC-2
Rushby, Pamela	Lizzie and Margaret Rose		9781742991528	5-6
Sedunary, Michael; Emmericks, Bern	The Startling Story of Lachlan Macquarie	Australian First Settlement	9780994384102	5-6, 7-8, 9-10
Sedunary, Michael; Emmericks, Bern	The Unlikely Story of Bennelong and Phillip	Australian First Settlement	9780994289551	5-6, 7-8, 9-10
Sedunary, Michael; Emmericks, Bern	William Bligh: A Stormy Story of Tempestuous Times	Australian First Settlement	9780994289568	5-6, 7-8, 9-10
Shanahan, Lisa	The Grand Genius' Summer of Henry Hoobler		9781760293017	3-4, 5-6
Shanks, Matt	Eric the Postie		9781743811931	EC-2
Spratt, R.A.	Danger Ahead	Friday Barnes	9780857989956	5-6, 7-8
Stanton, Beck; Stanton, Matt	The Red Book		9780733334856	EC-2, 3-4
Stevens, Robin	Cream Buns and Crime: A Murder Most Unladylike Collection	Murder Most Unladylike Mysteries (Wells&Wong)	9780141376561	5-6, 7-8
Stilton, Geronimo	The Hunt for the Secret Papyrus	Geronimo Stilton Special Edition	9780545872508	3-4
Storer, Jen	Truly Tan: Trapped!	Truly Tan 06	9780733334122	5-6
Sutherland, Tui T.	Talons of Power	Wings of Fire 09	9780545685405	5-6
Sutton, Sally; Lovelock, Brian	Ambulance Ambulance!		9781925126303	EC-2
Taylor, Laini	Dreams of gods and monsters	Daughter of Smoke and Bone 03	9780316134071	9-10
Telgemeier, Raina	Ghosts		9780545540612	5-6, 7-8
